0; 7
0; 18
0; 21
0; 17
0; 1
0; 27
0; 24
0; 9
0; 49
0; 12
0; 4
0; 85
0; 24
0; 8
0; 7
0; 22
0; 35
0; 8
0; 24
0; 19
0; 25
0; 45
0; 37
0; 6
0; 16
0; 31
0; 60
0; 18
0; 17
0; 30
0; 9
0; 1
0; 20
0; 28
0; 1
0; 1
0; 7
0; 8
0; 19
0; 8
3961; 14
96692; 24
35209; 53
54128; 37
49510; 15
16741; 25
41614; 19
95228; 31
40659; 21
99702; 21
66341; 22
18992; 13
43990; 13
70459; 22
52748; 15
56288; 22
80411; 17
25659; 15
10899; 28
8644; 13
75907; 1
57336; 29
60969; 9
2474; 18
68003; 5
9693; 9
1306; 24
98524; 1
62093; 18
69442; 17
7804; 15
69444; 31
56767; 31
15085; 22
96220; 3
83368; 19
82275; 32
75516; 41
4080; 28
56408; 27
21281; 12
73364; 30
73802; 8
61924; 21
6029; 14
53434; 12
43701; 23
9491; 19
11082; 17
21662; 12
78490; 28
31437; 10
85755; 1
44956; 20
95936; 33
39843; 18
95397; 1
87334; 16
71303; 41
41904; 22
65660; 28
82725; 19
26224; 8
26530; 13
48887; 13
69849; 9
33646; 33
60089; 28
56767; 21
39542; 27
95488; 23
54177; 46
28406; 31
69941; 19
74642; 51
93303; 41
27928; 18
49899; 26
87977; 11
35388; 24
90782; 25
16030; 53
91970; 3
22956; 32
62862; 26
53781; 20
17613; 24
67924; 22
1607; 24
37904; 18
36230; 31
97866; 1
33203; 28
12737; 20
62856; 31
76651; 23
85042; 19
37673; 31
28809; 37
37343; 1
37565; 35
48210; 28
80092; 18
90252; 24
64644; 35
7981; 29
83280; 12
94030; 22
56628; 16
52136; 34
45522; 5
2702; 17
45206; 22
47491; 10
80298; 18
26516; 29
74227; 12
19809; 1
75582; 21
69515; 6
85606; 16
23630; 27
46030; 17
31711; 4
14472; 18
55012; 7
75869; 14
88752; 29
12683; 21
32603; 1
84084; 16
86987; 8
44869; 27
97409; 11
68586; 19
16793; 21
26119; 14
6670; 13
10966; 35
52087; 36
95472; 22
22213; 22
48503; 8
68881; 25
44343; 26
18693; 25
45046; 13
80798; 23
44033; 1
62103; 16
17430; 17
54423; 33
41447; 8
33941; 23
99043; 25
92387; 12
17184; 38
1428; 27
47211; 25
97067; 22
25119; 25
59171; 8
26021; 23
52807; 19
57626; 25
92656; 23
21231; 19
89535; 14
5590; 41
38963; 22
68909; 3
15670; 19
7331; 13
45101; 1
4436; 22
33226; 23
5601; 14
49333; 12
63524; 10
72975; 17
56771; 11
35913; 36
91874; 14
12587; 47
61379; 24
38597; 11
45126; 20
65617; 35
10148; 23
93334; 30
85746; 26
54244; 31
64636; 24
65519; 29
8472; 19
3647; 35
16653; 9
2214; 22
50980; 18
20903; 31
95578; 36
84705; 13
71398; 13
46311; 28
17731; 39
81804; 11
99311; 43
90015; 21
96928; 21
29278; 16
91907; 34
91840; 34
60367; 25
85801; 25
51884; 22
67205; 29
38976; 35
40810; 40
88784; 13
27023; 38
26385; 19
74670; 10
30371; 13
84472; 56
25630; 30
96523; 19
15715; 23
86528; 13
27764; 1
10226; 31
26602; 19
33148; 26
91491; 30
83756; 24
38930; 20
72001; 31
17971; 18
22483; 1
713; 29
81627; 17
39945; 22
71694; 55
68355; 5
80926; 35
69304; 18
98767; 17
57809; 22
27858; 18
72262; 40
30369; 1
92287; 21
95250; 23
66256; 11
45097; 10
53143; 32
36603; 5
57723; 33
46919; 14
65577; 21
79776; 14
64896; 18
69832; 20
75808; 22
11463; 6
94751; 31
89117; 18
1335; 6
40320; 17
68257; 18
39579; 26
60953; 17
51668; 39
13062; 15
66169; 22
16146; 38
91634; 20
67751; 2
57374; 33
80504; 16
43633; 29
66836; 27
36769; 16
78805; 10
85092; 5
590; 27
13120; 8
62404; 2
37277; 11
68897; 21
14426; 26
12564; 10
46149; 17
73229; 23
56298; 18
88376; 14
57112; 15
15914; 18
20056; 22
901; 12
71559; 8
820; 17
40942; 1
20189; 24
98097; 11
54609; 4
31837; 15
46794; 11
36357; 14
12685; 21
92874; 16
4450; 20
56254; 11
38994; 39
82332; 1
35524; 27
60615; 24
73804; 15
49212; 20
5909; 24
44051; 26
28612; 18
52876; 25
50982; 31
85958; 20
72318; 23
20142; 18
19274; 24
40556; 5
77799; 5
15231; 5
95496; 33
11842; 44
23044; 16
22950; 19
9549; 32
26348; 19
65960; 18
70504; 22
63177; 25
41607; 25
37017; 12
38329; 22
30885; 32
53199; 15
18860; 23
